Ep.:     10, Loss: 38.015, Avg.Score: -47.16, Avg.LenOfSnake: 5.03, Max.LenOfSnake: 6.00, Time: 00:00:16
Ep.:     20, Loss: 21.706, Avg.Score: -48.14, Avg.LenOfSnake: 5.07, Max.LenOfSnake: 6.00, Time: 00:00:30
Ep.:     30, Loss: 11.018, Avg.Score: -48.63, Avg.LenOfSnake: 5.10, Max.LenOfSnake: 6.00, Time: 00:00:44
Ep.:     40, Loss: 12.012, Avg.Score: -49.52, Avg.LenOfSnake: 5.03, Max.LenOfSnake: 6.00, Time: 00:00:58
Ep.:     50, Loss: 13.913, Avg.Score: -49.87, Avg.LenOfSnake: 5.20, Max.LenOfSnake: 7.00, Time: 00:01:12
Ep.:     60, Loss: 10.921, Avg.Score: -49.98, Avg.LenOfSnake: 5.10, Max.LenOfSnake: 6.00, Time: 00:01:26
Ep.:     70, Loss: 13.431, Avg.Score: -49.87, Avg.LenOfSnake: 5.30, Max.LenOfSnake: 9.00, Time: 00:01:42
Ep.:     80, Loss: 10.278, Avg.Score: -50.06, Avg.LenOfSnake: 5.00, Max.LenOfSnake: 5.00, Time: 00:01:57
Ep.:     90, Loss: 10.560, Avg.Score: -50.55, Avg.LenOfSnake: 5.07, Max.LenOfSnake: 6.00, Time: 00:02:13
Ep.:    100, Loss: 12.807, Avg.Score: -50.89, Avg.LenOfSnake: 5.30, Max.LenOfSnake: 8.00, Time: 00:02:29
Ep.:    110, Loss: 14.579, Avg.Score: -51.73, Avg.LenOfSnake: 5.20, Max.LenOfSnake: 7.00, Time: 00:02:46
Ep.:    120, Loss: 14.819, Avg.Score: -51.78, Avg.LenOfSnake: 5.27, Max.LenOfSnake: 7.00, Time: 00:03:05
Ep.:    130, Loss: 14.123, Avg.Score: -51.87, Avg.LenOfSnake: 5.40, Max.LenOfSnake: 7.00, Time: 00:03:24
Ep.:    140, Loss: 16.546, Avg.Score: -51.41, Avg.LenOfSnake: 5.53, Max.LenOfSnake: 9.00, Time: 00:03:42
Ep.:    150, Loss: 16.544, Avg.Score: -51.30, Avg.LenOfSnake: 5.43, Max.LenOfSnake: 7.00, Time: 00:04:01
Ep.:    160, Loss: 17.203, Avg.Score: -50.71, Avg.LenOfSnake: 5.63, Max.LenOfSnake: 8.00, Time: 00:04:19
Ep.:    170, Loss: 17.700, Avg.Score: -50.22, Avg.LenOfSnake: 5.33, Max.LenOfSnake: 9.00, Time: 00:04:37
Ep.:    180, Loss: 16.148, Avg.Score: -49.70, Avg.LenOfSnake: 5.73, Max.LenOfSnake: 8.00, Time: 00:04:55
Ep.:    190, Loss: 20.068, Avg.Score: -48.33, Avg.LenOfSnake: 5.40, Max.LenOfSnake: 8.00, Time: 00:05:13
Ep.:    200, Loss: 19.391, Avg.Score: -47.10, Avg.LenOfSnake: 5.83, Max.LenOfSnake: 9.00, Time: 00:05:32
Ep.:    210, Loss: 20.365, Avg.Score: -45.47, Avg.LenOfSnake: 6.03, Max.LenOfSnake: 9.00, Time: 00:05:51
Ep.:    220, Loss: 25.063, Avg.Score: -44.32, Avg.LenOfSnake: 5.97, Max.LenOfSnake: 10.00, Time: 00:06:09
Ep.:    230, Loss: 19.122, Avg.Score: -43.00, Avg.LenOfSnake: 5.97, Max.LenOfSnake: 10.00, Time: 00:06:30
Ep.:    240, Loss: 20.504, Avg.Score: -41.81, Avg.LenOfSnake: 5.97, Max.LenOfSnake: 11.00, Time: 00:06:50
Ep.:    250, Loss: 24.687, Avg.Score: -39.59, Avg.LenOfSnake: 6.47, Max.LenOfSnake: 11.00, Time: 00:07:10
length of scores:  252 , len of avg_scores:  252
mu:  7.27 , sigma:  1.48 , median:  7.0
